lookalike_address,mimics_address,mimics_label,mimics_category,funder_txs_to_lookalike,misdirected_inbound_txs,misdirected_egld
erd1vxzc43hmuwe9lg03y7d0m0jw9us5vn484y8rp06zx3a4w9hj893st5khd2,erd1vxa2vkdd945k0d6v8dscm8pwt56ueujdtzsyghh6zu4c4lf0kyjqaqkhd2,Unknown Whale,other,11,0,0
erd1wyn4ugmfgr7rf62d4ntnmsh5p9jz5xfxxjkwduvh5ytmxxqjyazs4gz3ds,erd1wyj8ufhuvrayd8wvd97ftswzr0u48z0e2vn237c2cpmjpsxn58ps9dz3ds,OTC Desk->Binance.com Router (run #20),router,11,0,0
erd15rkq2xajuhh6k0psvdfwm9vurrkaxpd6p5f77vj5wkeagtd9ujssnaym3n,erd15rxyftv8v6kngycnwwq54reuhffryg6f9mlu5jwyf3rwm23lnlcqphym3n,Bybit->OTC Desk Feeder (run #24),router,11,0,0
erd19dsa7dk0wsmtpc4gz94z52gmx2ye58lha4nsajs2lwyqnkmayl4szulamh,erd19dnulr2p03r57vp7tv6f2tqspeunwmshaa0s30v8vuj6waennj3qgvlamh,OTC Desk->Gate.io Router (run #24),router,10,0,0
erd102wzv5faww7myd5f5njkd260m33jh5ywf7rrdp4jrkwhslynxlaqnttsxq,erd102tre9kuhkthukvmq58lzt70d8qwxdupaahsxxu89sqh2slc0vcs7ytsxq,OTC Desk->Gate.io Router (run #24),router,10,0,0
erd1dplc5xlrf6xnvp4q5druzruczgtr2x6c9fyx2whq4ntyv7f4x8pqedm7nl,erd1dp9v6qxdd5g03zrvxudyqw64kjvjnf6rx98u6yg2c5t5zarsgmvse7m7nl,OTC Desk->Bybit Router (run #24),router,10,0,0
erd1l4pgtteczznhwqndqg4ykdz5dtcypt9dgvewcteghtwtnzpwzk5qw45pnq,erd1l4wf0fug6zpz389mrj5z8q9cx5prvrrs30uxpjd6eadnr7280d8qd85pnq,OTC Desk->Bybit Router (run #24),router,10,0,0
erd1m53g622c2yr4eyyz9ahgxkgks7ncqptdrfrcuuhrzvraxxme6xusjrx40g,erd1m537u00lszywe79sufmv39j2s3ftgy3xlpegrlqhv4v5mu8nks0svvx40g,OTC Desk->Bybit Router (run #20),router,10,0,0
erd10q66qrmq008y70w6cje0pq0yv3njmrjrh3rum90wart2ta7jc3hqvf5ya4,erd10qcjunqdmgn58pgzndwg35tgms9ud40ey2f384df6fqrupuyh60sxz5ya4,Binance.com->OTC Desk Feeder (run #20),router,8,0,0
erd1tu6my0psmr5k6y5hmrzg8fs8ul7q2a27l5j8crpuzslgchmd7zcs6m5e3w,erd1tuvllxaf83tf32kms7wnsneuclv3m3734un8f3xn7dchv9p9h2ysme5e3w,OTC Desk->Binance.com Router (run #25),router,7,0,0
erd1fdj8f5l6clc48acjn85fk09udzx9fayjcrzjzgcujndcc5a7jjjsffnc35,erd1fdkq6mdyg7vt5wzs6039cf00xfmxmlg2kg8xkxkdzv8hw976rk2swhnc35,OTC→Binance Router 3 (nonce 663),exchange_router,7,0,0
erd1n5tmnmfgh6r8krlxczc772cq80f70807kz3uxe5pv6zjvpss834szl7wlm,erd1n5wcuda4vnh9umg8trwxqlzg4rglmcl3sjpvf7zdfw3ky2k3j95shk7wlm,OTC→Binance Router 1 (nonce 28),exchange_router,7,0,0
erd1rzslsw6f86nqxrrs8d7lcjrzylx4y68p8rnkelhdth8l32nkgxasrxmqsq,erd1rzkykujulgwya6g90nqztfvlawtj2fkasqperq9njzzszw2eumys4ymqsq,Bybit->OTC Desk Feeder (run #19),router,6,0,0
erd107ga3kqcaaxcj9p2a3j6fup25kevprdgefvqjfzvghdy0403n6lssmfg79,erd107vy0d3vts0n2g6asaxn44fp06d2pmhyvux48995mhev28rp608qnrfg79,Binance.com->OTC Desk Feeder (run #23),router,6,0,0
erd1andj2lsd09ec7w3f9sz2varlvnmravlak0kegvyt6hv4pj8y7afszulud7,erd1an6dv5hg36pscczvt999cd7ax3pjknutd6zxhddqk946z0djrq8sh2lud7,OTC Desk->Bybit Router (run #20),router,5,0,0
erd1yt9c6ll2vpra7sx7kw6d5349dtr377pufnua6kzw4hrva0wyjgysqd9arn,erd1ytpenkzjucgq7mxu4l6u8v72vfxxlux2237925glajhs4dj3u8asue9arn,Bybit/Gate.io->OTC Desk Feeder (resolved run #25),exchange_router,5,0,0
erd12gkgzld9lflxn90e7dhvjyxxe7yqk5d2330h5wfqlehars0uxtkqa8mcnn,erd12g8zt89dschsmkghg4cf2p9y0nfsa8ey20jeydav3xtgltnn6j7qr2mcnn,OTC Desk->Binance.com Router (run #23),router,5,0,0
erd17cu93md8vs8l6p3rx2j3v97z74mmzz2wucqxpwvgnp97q53hzh7qdvr2pe,erd17cfk3d984xr6eef7smc5a7z480rn3klgu7pt2va7u37ehr7slmtqv6r2pe,OTC→Bybit Router 4 (nonce 16),exchange_router,4,0,0
erd1steu3d4ejf0tdxe49t3puml7m90ndk9yrnqctkzxhn3erftw3p9q0c0698,erd1stp5uw854qlfvsqjflyugmv6vqwvdp25vdperdrw3093htkjyx6swz0698,OTC Desk->Unknown Whale I (active) Router (run #25),router,3,0,0
erd1ryh4dptztl7a6zh8kaqa5kv7dxel4455jscc8zq3zr7aezm5jksqzv8pr6,erd1ryx2av4ylc7zd9uj3880v3qwtc80shgc3svqs0wyu92s0ad20v6qst8pr6,OTC Desk->Bybit Router (run #19),router,3,0,0
erd1qm45vpl0qc5jlf6uuuzgmw0es750cfvvt8h0pvl46mtwq3dmygjsxh72kr,erd1qm6mf3q6k6kgwx6ay4mf495e586skfy8cj8prwhtt4a0j35p4ylqgq72kr,OTC Desk->Unknown Whale I (active) Router (run #25),router,2,0,0
erd18v07q8x5nznv9ytep2kfv4e0xqy248049fkjljwgrku8elvxdc4s9mncj5,erd18vmgdhqzze45ldtmtknnwuqpmt88gyvdkgt3s68rgryleleykclq83ncj5,Bybit->OTC Desk Feeder (run #19),router,2,0,0
erd1ghmscp529q39cs4xa069y6w2yec2thty5huaq8xtwl2mz29wzvhsrm274p,erd1ghfrqvvyf7ewnn27rpzkf46rnezct878eh4a9q0qkh7tstl5g0dqvv274p,OTC Desk->Binance.com Router (run #25),router,2,0,0
erd1x4u2m0fnq2nqeceuqueunw9apjn85d87f38yv0cjmzhdske46msspxewlm,erd1x45vnu7shhecfz0v03qqfmy8srndch50cdx7m763p743tzlwah0sgzewlm,XOXNO: Deployer Wallet,defi,2,0,0
erd1ccm9jcfs4p4xm9vlyrr9p5eyelv9cp0d40ey5wss9vrr4qekdssq849pvt,erd1cc2yw3reulhshp3x73q2wye0pq8f4a3xz3pt7xj79phv9wm978ssu99pvt,Hatom: Deployer Wallet,defi,1,0,0
erd12uhuc4yq3zhgsk33ggfx7cvhd2vuzhcpcsyc4gpjchnnulwp52ns2pt5jd,erd12uv6mj42mv090ucffuuc4pwexrgqfuycegl2rg9j2ah9u20s7dlsmrt5jd,Hatom: MEX recovery keeper,defi,1,0,0
erd1r9jus8utdw2d7ly0naudda87er28gn05l2vsp5rug7t4ksx34h6qyvt69q,erd1r957p3k5lnhvl208zgtugx0ee72p8zacmnx32f7ty95pcjavpxaqcmt69q,OTC Desk->Bybit Router (run #24),router,1,0,0
erd18pkujgtp75yglv4zaygsqrx2jpcstl2yjtpzs6x745gyzx6vn62sa5xqpv,erd18pwhucm0rd89lc8ut2f3rwcqk2s3s8456y9y4p2rgw6n960w4qqqlxxqpv,Whale migration destination (nonce 0),whale,1,0,0
erd1daup5e5tmadzf0uw3ts62z955e0ztz33d7hyc86vpnur86e537asezv9ms,erd1daqlaezxx22rzyxnqx5ddkykm5ajelt0hetjnstm7rxqg78xqusqazv9ms,"Delegation unwinder erd1daqlaezxx22rzy (229,865 EGLD)",whale,1,0,0
